claim_id,module,doc_location,code_location,formula,symbols_units,domain_assumptions,verification_method,wolfram_input,status,limitations
GEOM-001,geometry,arclength.py:31 (docstring),src/crowd_management/geometry/arclength.py:30-34,"A = 1/2 * Sum(x_i*y_{i+1} - x_{i+1}*y_i); A>0 iff CCW","x,y in metres; A in m^2","simple closed polygon; >=3 distinct vertices","symbolic identity + exact rational polygons (L2/L3)",wolfram/tests/geometry.wlt#GEOMETRY-AREA-001,SYMBOLICALLY_PROVED,"orientation criterion proved for simple polygons only"
GEOM-002,geometry,docs/RESEARCH_SPEC.md:160-163,src/crowd_management/geometry/arclength.py:181-185,"L = Sum ||p_{i+1}-p_i|| with wrap-around","p in metres; L in metres","finite non-degenerate polygon","exact polygons cross-checked vs Python (L3/L4)",wolfram/tests/geometry.wlt#GEOMETRY-ARC-001,EXACTLY_VERIFIED,"polygonal curves only"
GEOM-003,geometry,arclength.py:151-153 (docstring),src/crowd_management/geometry/arclength.py:187,"count = max(3, ceil(L/spacing - 1e-12)); realized spacing = L/count <= spacing","spacing in metres","spacing>0; L>0 finite","ceiling inequality via Reduce + boundary sampling (L2/L4)",wolfram/tests/geometry.wlt#GEOMETRY-SPACING-001,ASSUMPTION_GAP,"1e-12 guard admits realized spacing marginally above requested spacing when L/spacing is within 1e-12 above an integer; docstring says 'maximum requested sample spacing'"
GEOM-004,geometry,arclength.py:157-159 (docstring),src/crowd_management/geometry/arclength.py:188,"arc_s[k] = k*L/count; arc_s[0]=0; strictly increasing; arc_s[-1]<L","arc_s in metres","as GEOM-003","exact enumeration (L3)",wolfram/tests/geometry.wlt#GEOMETRY-ARCS-001,EXACTLY_VERIFIED,
GEOM-005,geometry,docs/RESEARCH_SPEC.md:349,src/crowd_management/geometry/arclength.py:210,"d_L(a,b) = min(|a-b|, L-|a-b|) == |((a-b+L/2) mod L) - L/2|","a,b,L in metres","L>0; finite; equivalence after wrapping a-b into [0,L)","Reduce equivalence + exhaustive rationals (L2/L3)",wolfram/tests/geometry.wlt#GEOMETRY-PDIST-001,SYMBOLICALLY_PROVED,
GEOM-006,geometry,docs/RESEARCH_SPEC.md:87-99,src/crowd_management/geometry/arclength.py:214-229,"max gap of sorted (s mod L) incl. seam; gaps sum to L; relabel/phase invariant","s,L in metres","non-empty finite; L>0","exact enumeration + invariance (L3/L4)",wolfram/tests/geometry.wlt#GEOMETRY-GAP-001,EXACTLY_VERIFIED,
GEOM-007,geometry,arclength.py:158-160 (docstring),src/crowd_management/geometry/arclength.py:197,"outward normal = (t_y, -t_x) for CCW curves","unit vectors","convex/star-shaped test curves","n.(p-centroid)>0 at 50 digits (L4)",wolfram/tests/geometry.wlt#GEOMETRY-NORMAL-001,NUMERICALLY_VERIFIED_WITHIN_DOMAIN,"outwardness proved only on tested curve families"
GEOM-008,geometry,,src/crowd_management/geometry/arclength.py:195-196,"central-difference tangent error = O(h^2)","h in metres","analytic circle/ellipse","convergence-order fit at 50 digits (L4)",wolfram/tests/geometry.wlt#GEOMETRY-TANGENT-001,NUMERICALLY_VERIFIED_WITHIN_DOMAIN,
GEOM-009,geometry,docs/RESEARCH_SPEC.md:161,src/crowd_management/geometry/arclength.py:50-130,"orientation/on-segment predicate detects non-adjacent segment intersections","atol=1e-9","exact-arithmetic borderline cases","exact case enumeration incl. touching/collinear (L3)",wolfram/tests/geometry.wlt#GEOMETRY-SELFX-001,EXACTLY_VERIFIED,
GEOM-010,geometry,,src/crowd_management/geometry/arclength.py,"L / arc gaps / H invariant under rigid transforms","","rigid transforms only","property tests with 50-digit rotations (L4)",wolfram/tests/geometry.wlt#GEOMETRY-INVAR-001,PROPERTY_TESTED,
COV-001,periodic_coverage,,src/crowd_management/controllers/periodic_arc_cvt.py:150-153,"Integrate[(s-c)^2,{s,l,r}] = ((r-c)^3-(l-c)^3)/3","s,c,l,r in metres; H in m^3","polynomial identity","FullSimplify residual == 0 (L2)",wolfram/tests/periodic_coverage.wlt#PERIODIC-CELL-001,SYMBOLICALLY_PROVED,
COV-002,periodic_coverage,docs/RESEARCH_SPEC.md:196-197,src/crowd_management/controllers/periodic_arc_cvt.py:262;381,"equal-arc H* = L^3/(12 m^2)","L in metres; m positive integer; H in m^3","L>0; m>=1 integer; uniform density phi=1; periodic 1-D arc; equal spacing","symbolic derivation from cell integrals (L2)",wolfram/tests/periodic_coverage.wlt#PERIODIC-HSTAR-001,SYMBOLICALLY_PROVED,"uniform density only; does not transfer to non-uniform phi"
